id,name,area,city,latitude,longitude,source,source_license,confidence,last_checked_at,court_type,access_type,price_type,has_lights,dryness_after_rain,slippery_when_wet,rain_playable,surface_type,surface_condition,court_cleanliness,court_space,runoff_safety,peak_times,has_nets,rim_height,rim_type,backboard_condition,rim_condition,hoop_count,opening_hours,evening_access,has_toilets,has_drinking_water,has_parking,has_changing_rooms,good_for_solo,good_for_pickup,good_for_training,beginner_friendly,notes,photo_asset_name,photo_url,osm_type,osm_id,osm_ref,osm_tags_json,import_batch
osm-way-1184677964,OSM Basketball Court 1184677964,UK,UK,53.5367796,-1.5142603,openStreetMap,ODbL - OpenStreetMap contributors,imported,Imported 2026-05-12,outdoor,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,{unknown},unknown,unknown,unknown,unknown,unknown,,Access not confirmed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Imported from OpenStreetMap (way/1184677964). Name is missing in OSM and should be manually reviewed.,,,way,1184677964,way/1184677964,"{""@id"":""way/1184677964"",""leisure"":""pitch"",""sport"":""basketball"",""@geometry"":""center""}",2026-05-12
osm-way-1184736949,OSM Basketball Court 1184736949,UK,UK,51.4851919,-0.1008928,openStreetMap,ODbL - OpenStreetMap contributors,imported,Imported 2026-05-12,outdoor,unknown,unknown,unknown,unknown,unknown,unknown,asphalt,unknown,unknown,unknown,unknown,{unknown},unknown,unknown,unknown,unknown,unknown,,Access not confirmed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Imported from OpenStreetMap (way/1184736949). Name is missing in OSM and should be manually reviewed.,,,way,1184736949,way/1184736949,"{""@id"":""way/1184736949"",""leisure"":""pitch"",""sport"":""basketball;soccer"",""surface"":""asphalt"",""@geometry"":""center""}",2026-05-12
osm-way-1184795843,OSM Basketball Court 1184795843,UK,UK,51.5667437,0.0083575,openStreetMap,ODbL - OpenStreetMap contributors,imported,Imported 2026-05-12,outdoor,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,{unknown},unknown,unknown,unknown,unknown,unknown,,Access not confirmed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Imported from OpenStreetMap (way/1184795843). Name is missing in OSM and should be manually reviewed.,,,way,1184795843,way/1184795843,"{""@id"":""way/1184795843"",""leisure"":""pitch"",""sport"":""soccer;basketball"",""@geometry"":""center""}",2026-05-12
osm-way-1184902978,OSM Basketball Court 1184902978,UK,UK,51.5832490,-0.2382217,openStreetMap,ODbL - OpenStreetMap contributors,imported,Imported 2026-05-12,outdoor,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,{unknown},unknown,unknown,unknown,unknown,unknown,,Access not confirmed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Imported from OpenStreetMap (way/1184902978). Name is missing in OSM and should be manually reviewed.,,,way,1184902978,way/1184902978,"{""@id"":""way/1184902978"",""leisure"":""pitch"",""sport"":""basketball"",""@geometry"":""center""}",2026-05-12
osm-way-1186433822,OSM Basketball Court 1186433822,UK,UK,51.5979888,-0.2305033,openStreetMap,ODbL - OpenStreetMap contributors,imported,Imported 2026-05-12,outdoor,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,{unknown},unknown,unknown,unknown,unknown,unknown,,Access not confirmed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Imported from OpenStreetMap (way/1186433822). Name is missing in OSM and should be manually reviewed.,,,way,1186433822,way/1186433822,"{""@id"":""way/1186433822"",""leisure"":""pitch"",""sport"":""basketball"",""@geometry"":""center""}",2026-05-12
osm-way-1186769633,OSM Basketball Court 1186769633,UK,UK,51.5079133,0.0715785,openStreetMap,ODbL - OpenStreetMap contributors,imported,Imported 2026-05-12,outdoor,public,unknown,unknown,unknown,unknown,unknown,asphalt,unknown,unknown,unknown,unknown,{unknown},unknown,unknown,unknown,unknown,unknown,1,Access not confirmed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Imported from OpenStreetMap (way/1186769633). Name is missing in OSM and should be manually reviewed.,,,way,1186769633,way/1186769633,"{""@id"":""way/1186769633"",""access"":""yes"",""hoops"":""1"",""leisure"":""pitch"",""sport"":""basketball"",""surface"":""asphalt"",""@geometry"":""center""}",2026-05-12
osm-way-1186902653,OSM Basketball Court 1186902653,UK,UK,51.7410724,-1.2645780,openStreetMap,ODbL - OpenStreetMap contributors,imported,Imported 2026-05-12,outdoor,unknown,unknown,unknown,unknown,unknown,unknown,asphalt,unknown,unknown,unknown,unknown,{unknown},unknown,unknown,unknown,unknown,unknown,,Access not confirmed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Imported from OpenStreetMap (way/1186902653). Name is missing in OSM and should be manually reviewed.,,,way,1186902653,way/1186902653,"{""@id"":""way/1186902653"",""leisure"":""pitch"",""sport"":""basketball"",""surface"":""asphalt"",""@geometry"":""center""}",2026-05-12
osm-way-1186968481,OSM Basketball Court 1186968481,UK,UK,51.9052066,-0.1610437,openStreetMap,ODbL - OpenStreetMap contributors,imported,Imported 2026-05-12,outdoor,public,unknown,no,unknown,unknown,unknown,concrete,unknown,unknown,unknown,unknown,{unknown},unknown,unknown,unknown,unknown,unknown,1,Access not confirmed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Imported from OpenStreetMap (way/1186968481). Name is missing in OSM and should be manually reviewed.,,,way,1186968481,way/1186968481,"{""@id"":""way/1186968481"",""access"":""yes"",""hoops"":""1"",""leisure"":""pitch"",""lit"":""no"",""sport"":""basketball"",""surface"":""concrete"",""@geometry"":""center""}",2026-05-12
osm-way-1187354389,OSM Basketball Court 1187354389,UK,UK,52.9131367,-3.0599342,openStreetMap,ODbL - OpenStreetMap contributors,imported,Imported 2026-05-12,outdoor,public,unknown,no,unknown,unknown,unknown,asphalt,unknown,unknown,unknown,unknown,{unknown},unknown,unknown,unknown,unknown,unknown,,Access not confirmed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Imported from OpenStreetMap (way/1187354389). Name is missing in OSM and should be manually reviewed.,,,way,1187354389,way/1187354389,"{""@id"":""way/1187354389"",""access"":""yes"",""leisure"":""pitch"",""lit"":""no"",""sport"":""basketball;soccer"",""surface"":""asphalt"",""@geometry"":""center""}",2026-05-12
osm-way-1187548008,OSM Basketball Court 1187548008,UK,UK,52.0309303,-0.9941528,openStreetMap,ODbL - OpenStreetMap contributors,imported,Imported 2026-05-12,outdoor,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,{unknown},unknown,unknown,unknown,unknown,unknown,,Access not confirmed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Imported from OpenStreetMap (way/1187548008). Name is missing in OSM and should be manually reviewed.,,,way,1187548008,way/1187548008,"{""@id"":""way/1187548008"",""leisure"":""pitch"",""sport"":""basketball"",""@geometry"":""center""}",2026-05-12
osm-way-1187609778,OSM Basketball Court 1187609778,UK,UK,51.5583209,-0.4064090,openStreetMap,ODbL - OpenStreetMap contributors,imported,Imported 2026-05-12,outdoor,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,{unknown},unknown,unknown,unknown,unknown,unknown,,Access not confirmed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Imported from OpenStreetMap (way/1187609778). Name is missing in OSM and should be manually reviewed.,,,way,1187609778,way/1187609778,"{""@id"":""way/1187609778"",""leisure"":""pitch"",""sport"":""basketball"",""surface"":""paved"",""@geometry"":""center""}",2026-05-12
osm-way-1188061567,OSM Basketball Court 1188061567,UK,UK,53.8095674,-1.6055607,openStreetMap,ODbL - OpenStreetMap contributors,imported,Imported 2026-05-12,outdoor,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,{unknown},unknown,unknown,unknown,unknown,unknown,,Access not confirmed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Imported from OpenStreetMap (way/1188061567). Name is missing in OSM and should be manually reviewed.,,,way,1188061567,way/1188061567,"{""@id"":""way/1188061567"",""barrier"":""fence"",""leisure"":""pitch"",""sport"":""basketball;soccer"",""@geometry"":""center""}",2026-05-12
